Timestamp,User,Name,Aadhaar_no,Age,Gender,Email_id
2024-04-11 10:27:36,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 10:38:54,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 10:42:35,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 10:44:35,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 10:45:12,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com2024-04-11 10:54:41,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 10:55:11,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 10:57:34,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 11:03:22,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 11:05:27,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 11:17:14,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 11:30:54,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-11 11:34:29,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-12 10:11:40,Admin,Dev,2345678,19,Male,devendrachaurasia12@gmail.com
2024-04-12 10:21:06,Member,Dev,1234567,19,Male,
2024-04-12 10:21:23,Member,Dev,1234567,19,Male,
2024-04-12 10:23:54,Member,Dev,1234567,19,Male,
2024-04-12 10:24:23,Member,Dev,1234567,19,Male,
2024-04-12 10:24:56,Member,Dev,1234567,19,Male,
2024-04-12 10:25:54,Member,Dev,1234567,19,Male,
2024-04-12 10:27:24,Member,Dev,1234567,19,Male,
2024-04-12 10:29:20,Member,Dev,1234567,19,Male,
2024-04-12 10:32:22,Member,Dev,1234567,19,Male,
2024-04-12 10:33:40,Member,Dev,1234567,19,Male,
2024-04-12 10:35:56,Member,Dev,1234567,19,Male,
2024-04-12 10:36:48,Member,Dev,1234567,19,Male,
2024-04-12 10:38:40,Member,Dev,1234567,19,Male,
2024-04-12 10:41:57,ALL,dev,1234567,19,Male,
2024-04-12 10:47:32,ALL,dev,1234567,19,Male,
2024-04-12 10:50:19,ALL,dev,1234567,19,Male,
